board_id,device_tag,floor_id,peak_total_kw,peak_timestamp,peak_lights_kw,peak_equipment_kw,peak_hvac_kw,overload_status,value_class
board_3nAqxWAvT6Kwm_Yz__pXOI,RKT01,floor_level_03,0.142,2025-10-04 14:30:00,0.142,0,0,rating_missing,spatially_inferred
board_3Sg96Yq1H0KeIY_4TWSz7a,RKE01,floor_level_02,4.298,2025-08-03 09:30:00,3.936,0.362,0,rating_missing,spatially_inferred
board_0BApDNy4b68xPmOWc6g5bB,VVK01,floor_level_05,4.197,2025-10-16 14:00:00,4.197,0,0,rating_missing,spatially_inferred
board_3Sg96Yq1H0KeIY_4TWSyoW,RKT01,floor_level_04,0.065,2025-10-01 10:00:00,0.065,0,0,rating_missing,spatially_inferred
board_1uPDbvw6L0MgNr4AW2hEsV,RKE02,floor_level_01,30.236,2025-01-12 16:30:00,30.08,0.156,0,rating_missing,spatially_inferred
board_3Sg96Yq1H0KeIY_4TWSz7S,RKE01,floor_level_02,2.504,2025-10-01 09:30:00,1.429,1.075,0,rating_missing,spatially_inferred
board_1BFJi9GR9EgeQt8GQ9ASY_,RKE04,floor_basement,0.889,2025-03-02 14:30:00,0.889,0,0,rating_missing,spatially_inferred
board_0YlieLMgD4O9YRLNjlwdJu,JKE02,floor_basement,13.727,2025-04-11 09:30:00,13.727,0,0,rating_missing,spatially_inferred
board_2CLLxwql1ENgOMn_rShACC,RKT01,floor_level_05,0.209,2025-10-08 10:30:00,0.209,0,0,rating_missing,spatially_inferred
board_3_XGvzQVX2IO92jk20E2MP,RKT01,floor_basement,0.037,2025-06-01 13:30:00,0.037,0,0,rating_missing,spatially_inferred
board_2ILcbW7IvEOAriHq5LuDGn,RKE01,floor_level_03,11.251,2025-05-09 15:00:00,6.074,5.177,0,rating_missing,spatially_inferred
board_3Sg96Yq1H0KeIY_4TWSyoY,RKE01,floor_level_04,77.625,2025-11-05 14:00:00,33.734,43.891,0,rating_missing,spatially_inferred
board_3Sg96Yq1H0KeIY_4TWSyoZ,RKE01,floor_level_04,4.936,2025-04-03 09:30:00,2.428,2.508,0,rating_missing,spatially_inferred
board_1uPDbvw6L0MgNr4AW2hEtU,RKE02,floor_level_01,123.214,2025-01-12 07:00:00,5.854,34.817,116.795,rating_missing,spatially_inferred
board_3Sg96Yq1H0KeIY_4TWSz7U,RKE01,floor_level_02,140.83,2025-01-12 07:00:00,20.903,5.128,137.775,rating_missing,spatially_inferred
board_3Sg96Yq1H0KeIY_4TWSz7V,RKE01,floor_level_02,91.504,2025-03-29 09:30:00,39.093,52.411,0,rating_missing,spatially_inferred
board_0ySY4lCdb6wP8OlE3GnJLh,RKT01,floor_level_03,0.154,2025-10-30 16:00:00,0.154,0,0,rating_missing,spatially_inferred
board_2Nl2KpUg9CfPXj33hGJG3g,RKE02,floor_level_01,15.906,2025-11-07 09:30:00,15.804,0.102,0,rating_missing,spatially_inferred
board_0BApDNy4b68xPmOWc6g7wd,RKE08,floor_level_05,2.084,2025-10-29 12:00:00,2.084,0,0,rating_missing,spatially_inferred
board_1BFJi9GR9EgeQt8GQ9AUhL,RKE03,floor_basement,0.122,2025-10-17 09:30:00,0.122,0,0,rating_missing,spatially_inferred
board_1uPDbvw6L0MgNr4AW2hEs_,RKT01,floor_level_01,0.753,2025-10-29 10:30:00,0.753,0,0,rating_missing,spatially_inferred
board_3Sg96Yq1H0KeIY_4TWSyoV,RKT01,floor_level_04,5.314,2025-10-03 15:30:00,5.314,0,0,rating_missing,spatially_inferred
board_0BApDNy4b68xPmOWc6g7w6,RKE09,floor_level_05,13.119,2025-10-01 10:30:00,13.119,0,0,rating_missing,spatially_inferred
board_1uPDbvw6L0MgNr4AW2hEsX,RKT01,floor_level_01,0.203,2025-10-02 11:30:00,0.203,0,0,rating_missing,spatially_inferred
board_3_XGvzQVX2IO92jk20E4kJ,RKE06,floor_basement,0.361,2025-07-12 16:00:00,0.361,0,0,rating_missing,spatially_inferred
board_3_XGvzQVX2IO92jk20E2M_,RKE07,floor_basement,0.834,2025-03-01 17:00:00,0.834,0,0,rating_missing,spatially_inferred
board_0v5ZMY9z92W9XFjubzgo4H,PKE01,floor_basement,0.064,2025-04-06 16:30:00,0.064,0,0,rating_missing,spatially_inferred
board_0YlieLMgD4O9YRLNjlwdJN,JKE02,floor_basement,0.364,2025-04-26 16:30:00,0.364,0,0,rating_missing,spatially_inferred
board_3nAqxWAvT6Kwm_Yz__pXOi,RKT01,floor_level_03,0.044,2025-04-05 09:30:00,0.044,0,0,rating_missing,spatially_inferred
board_0ySY4lCdb6wP8OlE3GnJKj,RKE01,floor_level_03,141.696,2025-01-12 07:00:00,26.711,5.006,138.05,rating_missing,spatially_inferred
board_3JIKR4ApD9Zubrv_yC0GIg,RKE01,floor_level_03,82.452,2025-11-05 13:30:00,38.611,43.842,0,rating_missing,spatially_inferred
board_3JIKR4ApD9Zubrv_yC0GIX,RKE01,floor_level_03,4.794,2025-03-29 11:30:00,2.33,2.465,0,rating_missing,spatially_inferred
board_3Sg96Yq1H0KeIY_4TWSyob,RKE01,floor_level_04,142.946,2025-01-12 07:00:00,26.482,5.015,139.322,rating_missing,spatially_inferred
board_3Sg96Yq1H0KeIY_4TWSyoh,RKE01,floor_level_04,11.23,2025-07-13 17:00:00,6.04,5.189,0,rating_missing,spatially_inferred
board_3Sg96Yq1H0KeIY_4TWSyoa,RKT01,floor_level_04,0.202,2025-10-09 11:00:00,0.202,0,0,rating_missing,spatially_inferred
board_0BApDNy4b68xPmOWc6gBjW,RKE08,floor_level_05,49.281,2025-02-10 08:00:00,0.692,0,49.208,rating_missing,spatially_inferred
board_1T4Dk9Ojj9rOi06EMenZ3N,RKE01,floor_basement,236.558,2025-01-12 07:00:00,49.626,61.586,221.07,rating_missing,spatially_inferred
board_1T4Dk9Ojj9rOi06EMenZ3G,RKT01,floor_basement,4.002,2025-10-31 11:30:00,4.002,0,0,rating_missing,spatially_inferred
board_3Sg96Yq1H0KeIY_4TWSz7H,RKT01,floor_level_02,0.154,2025-01-12 16:30:00,0.154,0,0,rating_missing,spatially_inferred
board_1aUKvm5Vn6pB1ZfN1xydf8,RKE08,floor_level_01,5.986,2025-10-02 11:30:00,5.873,0.113,0,rating_missing,spatially_inferred
board_3Sg96Yq1H0KeIY_4TWSz78,RKT01,floor_level_02,0.364,2025-01-05 16:00:00,0.364,0,0,rating_missing,spatially_inferred
board_1BFJi9GR9EgeQt8GQ9AYuy,UPS02,floor_basement,0.018,2025-04-04 11:30:00,0.018,0,0,rating_missing,spatially_inferred
board_0v5ZMY9z92W9XFjubzgo4t,PKE01,floor_basement,0.023,2025-04-02 10:30:00,0.023,0,0,rating_missing,spatially_inferred
board_1WxTmsBPD4Sf77udYi3J3n,JKE01,floor_basement,0.193,2025-04-09 12:00:00,0.193,0,0,rating_missing,spatially_inferred
board_0irh5V91zCcfh8lHZeV4Fq,RKT01,floor_level_03,0.051,2025-10-04 14:00:00,0.051,0,0,rating_missing,spatially_inferred
board_3Sg96Yq1H0KeIY_4TWSz7T,RKT01,floor_level_02,10.908,2025-10-31 12:00:00,10.908,0,0,rating_missing,spatially_inferred
board_2CLLxwql1ENgOMn_rShACR,RKE01,floor_level_05,35.291,2025-11-12 14:00:00,5.985,29.306,0,rating_missing,spatially_inferred
board_29TNjzyaLFhP4y0nNcCYsr,RKT01,floor_level_01,0.808,2025-10-30 14:00:00,0.808,0,0,rating_missing,spatially_inferred
board_3N5QrrVL56chghraBSbwWJ,RKT01,floor_basement,0.915,2025-10-30 10:30:00,0.915,0,0,rating_missing,spatially_inferred
board_3Sg96Yq1H0KeIY_4TWSz79,RKT01,floor_level_02,0.044,2025-09-10 12:00:00,0.044,0,0,rating_missing,spatially_inferred
board_3N5QrrVL56chghraBSbwdo,RKE05,floor_basement,1.594,2025-04-03 15:00:00,1.594,0,0,rating_missing,spatially_inferred
board_1IIV9b5Dr84eaHsxik87Mo,UPS01,floor_basement,0.017,2025-04-09 16:00:00,0.017,0,0,rating_missing,spatially_inferred
board_1WxTmsBPD4Sf77udYi3J2P,JKE01,floor_basement,0.317,2025-04-05 09:30:00,0.317,0,0,rating_missing,spatially_inferred
board_1BFJi9GR9EgeQt8GQ9AWs2,AK01,floor_basement,0.071,2025-04-10 15:00:00,0.071,0,0,rating_missing,spatially_inferred
board_1WxTmsBPD4Sf77udYi3J3x,JKE01,floor_basement,0.029,2025-04-09 16:00:00,0.029,0,0,rating_missing,spatially_inferred
board_3Sg96Yq1H0KeIY_4TWSyoS,RKT01,floor_level_04,0.045,2025-04-02 10:00:00,0.045,0,0,rating_missing,spatially_inferred
