target_metric,source_table,source_column,unit,value_class,source_flag_column,key_columns,notes
zone_lights_kw,final_zone_device_power_timeseries,lights_electricity_kw,kW,energyplus_simulated,lights_electricity_source,"zone_id,timestep_index",per-zone lights electricity rate
zone_lights_kwh_interval,final_zone_device_power_timeseries,lights_electricity_kwh_interval,kWh,energyplus_simulated,lights_electricity_source,"zone_id,timestep_index",per-zone lights energy over 0.5 h interval
zone_equipment_kw,final_zone_device_power_timeseries,equipment_electricity_kw,kW,energyplus_simulated,equipment_electricity_source,"zone_id,timestep_index",per-zone equipment electricity rate
zone_equipment_kwh_interval,final_zone_device_power_timeseries,equipment_electricity_kwh_interval,kWh,energyplus_simulated,equipment_electricity_source,"zone_id,timestep_index",per-zone equipment energy over 0.5 h interval
zone_hvac_kw,final_zone_device_power_timeseries,final_hvac_electricity_kw,kW,energyplus_simulated,hvac_electricity_source,"zone_id,timestep_index",per-zone hvac electricity rate
zone_hvac_kwh_interval,final_zone_device_power_timeseries,final_hvac_electricity_kwh_interval,kWh,energyplus_simulated,hvac_electricity_source,"zone_id,timestep_index",per-zone hvac energy over 0.5 h interval
final_total_zone_electricity_kw,final_zone_device_power_timeseries,final_total_zone_electricity_kw,kW,energyplus_simulated,,"zone_id,timestep_index",validation only; not allocated to boards
building_meter_total_kwh,final_building_meter_timeseries,value_kwh_interval_if_energy,kWh,energyplus_simulated,meter_name,"meter_name,timestep_index",meter Electricity:Facility
building_meter_lights_kwh,final_building_meter_timeseries,value_kwh_interval_if_energy,kWh,energyplus_simulated,meter_name,"meter_name,timestep_index",meter InteriorLights:Electricity
building_meter_equipment_kwh,final_building_meter_timeseries,value_kwh_interval_if_energy,kWh,energyplus_simulated,meter_name,"meter_name,timestep_index",meter InteriorEquipment:Electricity
building_meter_hvac_kwh,final_building_meter_timeseries,value_kwh_interval_if_energy,kWh,energyplus_simulated,meter_name,"meter_name,timestep_index",meter Electricity:HVAC
